Designator,Mid X,Mid Y,Layer,Rotation
C1,16.7500mm,14.0000mm,Top,180
C2,20.5000mm,13.0000mm,Top,90
C101,54.5500mm,23.7500mm,Top,180
C102,90.6500mm,23.6000mm,Top,180
C103,126.7000mm,23.7000mm,Top,180
C104,162.7000mm,23.8000mm,Top,180
C105,38.3000mm,15.2500mm,Top,0
C106,74.3000mm,15.2000mm,Top,0
C107,110.2900mm,15.2000mm,Top,0
C108,146.2900mm,15.1500mm,Top,0
C201,46.0000mm,23.8000mm,Top,0
C202,81.9000mm,23.7000mm,Top,0
C203,117.9500mm,23.8000mm,Top,0
C204,153.9000mm,23.9000mm,Top,0
C205,47.1000mm,15.1500mm,Top,180
C206,83.0500mm,15.1500mm,Top,180
C207,119.0500mm,15.0500mm,Top,180
C208,155.0500mm,15.2000mm,Top,180
D1,12.6400mm,18.9600mm,Top,90
D2,12.7500mm,12.2500mm,Top,270
D3,8.6800mm,4.1400mm,Top,90
D4,14.3200mm,2.0500mm,Top,0
D5,8.7500mm,35.2500mm,Top,270
D6,14.9500mm,36.8700mm,Top,180
D7,19.2500mm,26.9300mm,Top,180
D8,20.1800mm,30.3100mm,Top,180
F1,13.9300mm,25.0100mm,Top,90
F2,4.1600mm,4.1700mm,Top,0
F3,4.1500mm,35.2500mm,Top,0
F4,27.5000mm,26.6500mm,Top,90
J101,46.5100mm,27.2100mm,Top,0
J102,82.4825mm,27.2100mm,Top,0
J103,118.4825mm,27.2100mm,Top,0
J104,154.4700mm,27.2100mm,Top,0
J105,46.5100mm,11.7900mm,Top,180
J106,82.4825mm,11.7900mm,Top,180
J107,118.4825mm,11.7900mm,Top,180
J108,154.4700mm,11.7900mm,Top,180
JP1,24.5000mm,34.2500mm,Top,270
LED1/-12V,26.2500mm,10.7500mm,Top,0
LED2/+12V,26.1000mm,12.7500mm,Top,0
LED3/+5V,26.2500mm,14.7500mm,Top,0
P1,6.0000mm,13.0400mm,Top,90
P2,6.0000mm,26.0400mm,Top,90
P3,182.0925mm,31.5000mm,Top,90
P4,182.0925mm,23.5000mm,Top,90
P5,182.0925mm,15.5000mm,Top,90
P6,182.0925mm,7.7200mm,Top,90
R1,27.5000mm,8.2500mm,Top,180
R2,27.5000mm,19.0000mm,Top,270
R3,25.2500mm,17.7500mm,Top,270
U1,20.0500mm,19.6700mm,Top,270
