"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J104,J105,J108,J107,J103,J102,J106,J101";"eurorack-power-16pin";8;"2541WR-2X08P";;;
2;"P3";"power-faston-pin";1;"Faston -12V";;;
3;"P4";"power-faston-pin";1;"Faston GND";;;
4;"P5";"power-faston-pin";1;"Faston +12V";;;
5;"P6";"power-faston-pin";1;"Faston +5V";;;
6;"D7,D8";"SMA_L4.2-W2.6-LS5.0-RD_1";2;"SS14";;;
7;"C105,C102,C104,C207,C205,C103,C108,C202,C206,C101,C203,C201,C208,C204,C106,C107";"C0603";16;"0.1uF";;;
8;"LED1/-12V";"LED0603-RD";1;"Red";;;
9;"R1,R3,R2";"R0805";3;"1k";;;
10;"TP3";"TestPoint_Pad_D1.5mm";1;"TestPoint +5V IN";;;
11;"TP2";"TestPoint_Pad_D1.5mm";1;"TestPoint -12V Rail";;;
12;"D1,D3";"SOD-123FL_L2.8-W1.8-LS3.7-BI";2;"SMF12CA_C353317";;;
13;"F2,F3";"F1812";2;"BSMD1812-150-33V";;;
14;"TP5";"TestPoint_Pad_D1.5mm";1;"TestPoint +5V Rail";;;
15;"P2,P1";"CONN-TH_2P-P5.00_WJ500V-5.08-2P";2;"WJ500V-5.08-2P-14-00A";;;
16;"LED2/+12V";"LED0603-FD";1;"Green";;;
17;"F1";"F1812";1;"BSMD1812-200-30V";;;
18;"D6,D2,D4";"SOD-123F_L2.8-W1.8-LS3.7-RD";3;"SM4007PL";;;
19;"JP1";"HDR-TH_3P-P2.54-V-M-1";1;"3pin jumper";;;
20;"LED3/+5V";"LED0603-RD";1;"Blue";;;
21;"D5";"SOD-123FL_L2.8-W1.8-LS3.7-BI";1;"SMF5.0CA_C908214";;;
22;"U1";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
23;"C2";"C0805";1;"22uF";;;
24;"TP6";"TestPoint_Pad_D1.5mm";1;"TestPoint GND";;;
25;"TP4";"TestPoint_Pad_D1.5mm";1;"TestPoint LDO +5V";;;
26;"TP1";"TestPoint_Pad_D1.5mm";1;"TestPoint +12V Rail";;;
27;"F4";"F1812";1;"BSMD1812-110-33V";;;
28;"C1";"C0805";1;"10uF";;;
